team1,team2,toss_winner_is_team1,toss_decision,venue
8,3,1,0,22
6,0,0,1,38
1,7,0,1,16
5,8,1,1,51
7,6,0,1,43
0,5,0,0,26
6,5,0,0,38
8,7,0,0,22
0,3,0,1,26
6,1,0,1,38
8,0,0,1,22
3,5,1,1,14
1,8,0,0,16
7,3,1,1,43
0,1,1,1,26
6,3,1,1,38
5,1,0,0,9
7,0,0,1,43
8,6,0,0,22
5,7,1,0,9
1,0,0,0,16
3,8,1,1,14
0,6,0,0,26
7,1,1,0,43
6,8,0,1,38
3,1,1,1,14
5,0,1,0,51
5,3,1,0,51
1,6,1,1,16
7,8,0,0,43
3,0,1,1,14
8,1,0,0,22
3,7,0,0,14
5,6,1,0,51
0,8,0,1,26
1,5,1,0,16
0,7,0,1,26
3,6,0,1,14
7,5,1,0,43
8,5,0,0,22
6,7,0,0,38
1,7,1,0,51
0,6,0,1,51
0,7,0,0,9
0,5,1,0,33
8,7,1,1,33
1,6,1,0,33
8,0,0,1,48
6,3,0,0,21
0,1,0,1,21
3,7,1,0,33
8,6,1,1,21
8,1,1,1,48
6,7,1,1,33
3,5,0,1,48
1,7,1,1,50
8,3,0,1,21
6,5,1,1,21
0,7,0,0,50
3,5,0,1,7
8,6,1,1,21
0,1,0,0,32
6,3,0,1,48
8,5,0,1,32
6,7,1,0,21
1,3,0,1,21
8,7,0,0,50
0,6,1,1,50
1,5,0,1,7
0,7,0,1,8
8,5,0,1,48
1,3,1,0,32
8,3,1,0,50
6,5,1,1,50
8,0,0,1,21
5,7,0,1,21
1,6,0,0,34
0,5,0,1,48
1,7,1,1,34
0,3,1,1,50
8,1,0,1,32
3,7,1,0,21
0,6,1,1,21
1,5,1,0,50
8,0,1,0,32
5,7,1,1,5
6,1,0,0,38
3,8,1,0,14
7,1,0,0,42
8,6,0,1,22
3,0,0,1,14
1,5,1,0,16
8,7,1,0,22
1,0,1,1,16
7,3,1,1,42
5,8,1,1,5
0,6,1,0,26
5,3,0,1,5
8,0,0,0,22
6,7,1,0,38
0,5,0,0,6
8,1,1,0,22
6,3,0,1,38
7,0,1,1,42
1,3,1,1,16
5,6,1,0,5
0,8,0,1,26
1,7,1,1,16
6,8,1,1,38
0,7,1,1,26
1,8,1,1,16
3,6,1,1,14
0,5,1,1,26
7,6,0,1,43
3,1,1,1,14
6,5,0,1,38
8,3,1,0,22
1,6,1,1,16
7,5,1,0,43
5,1,1,1,5
0,3,0,1,26
7,8,1,1,43
0,1,1,1,26
8,5,1,0,22
3,7,0,1,14
6,0,0,0,17
3,5,0,1,14
8,5,0,1,9
0,5,1,1,9
0,3,1,1,26
1,5,1,1,16
7,1,0,1,43
8,5,0,0,22
6,0,1,0,38
7,3,0,0,43
0,8,1,1,26
3,7,1,0,14
6,7,0,0,38
3,8,0,0,14
5,0,0,0,51
1,6,0,0,16
1,8,0,0,16
1,3,1,0,16
7,5,1,0,43
3,6,1,0,14
5,6,0,0,51
0,7,0,1,26
8,6,0,0,22
3,0,0,1,14
5,1,0,0,51
7,0,1,0,43
6,5,0,0,38
7,8,0,0,43
0,1,1,1,26
8,3,1,0,22
6,1,0,0,17
6,8,1,1,17
5,7,1,1,51
8,0,1,0,22
3,5,0,0,14
8,0,0,0,51
5,3,1,0,51
8,5,0,0,26
0,8,1,1,26
0,5,0,0,26
3,1,0,0,14
7,6,0,0,43
8,1,0,0,22
7,3,0,0,43
8,3,1,0,22
1,0,1,0,16
5,7,0,0,51
0,8,0,1,26
3,7,0,1,14
3,6,1,0,14
8,7,0,1,22
5,1,0,0,51
6,3,1,1,38
6,8,0,0,38
0,7,0,1,26
5,6,1,1,51
7,8,1,0,43
6,5,1,1,38
1,5,0,0,16
0,6,0,1,26
3,8,1,1,14
1,7,1,1,16
0,3,1,1,26
7,1,1,1,43
8,6,0,0,22
6,7,0,1,38
5,0,1,0,51
1,3,1,1,16
5,8,0,0,51
7,0,0,0,43
3,5,0,1,14
0,1,1,0,26
8,5,0,0,22
3,0,0,0,14
1,6,0,1,16
5,3,1,0,51
6,0,1,0,17
1,8,1,0,16
6,1,0,0,17
7,5,1,1,43
